name,address,phone,email,lat,lng,url,country,state,city,star_count,rating_count,zip,primary_category_name,category_name,Facebook Profile,Instagram Handle,LinkedIn,Twitter,WhatsApp,YouTube,TikTok
"MIXT COFFEE (Olympic)","St 163, Phnom Penh, Cambodia","+855 87 752 289","mixtcoffee@gmail.com",11.5520731,104.9138558,"http://www.mixtcoffee.com/","Cambodia","Phnom Penh","Phnom Penh",4.5,49,"","Coffee shops","Coffee shops","https://www.facebook.com/mixtcoffee/","https://www.instagram.com/mixtcoffee/","","","","","https://www.tiktok.com/@mixtcoffee"
"Date Note - Stories","32Eo street 478, Phnom Penh, Cambodia","+855 15 335 383","datenote2021@gmail.com",11.5349494,104.9138999,"https://datenote2021.wixsite.com/datenotestories/home-1","Cambodia","Phnom Penh","Phnom Penh",4.6,30,"","Coffee shops","Restaurants,Coffee shops,Tea stores","https://www.facebook.com/datenote2021","https://www.instagram.com/datenote_stories/","","","","","https://www.tiktok.com/@datenotestories"
"Tatie's Phnom Penh","281Eo Preah Ang Duong St. (110), Phnom Penh 120211, Cambodia","+855 96 811 2028","taties.phnompenh@gmail.com",11.5719961,104.9194381,"https://www.taties-phnompenh.com/","Cambodia","Phnom Penh","Phnom Penh",4.5,28,"120211","Coffee shops","Restaurants,Coffee shops,Bakery and Cake Shops,Patisseries,Bakeries,Cheese shops","https://www.facebook.com/taties.pp","https://www.instagram.com/taties.pp/","","","","","https://www.tiktok.com/@tatiesphnompenh"
"The Alchemist Coffee","379 Preah Sisowath Quay, Phnom Penh 12200, Cambodia","+855 88 893 6663","info@hotelkvl.com",11.5665464,104.9316406,"https://www.hotelkvl.com/dining/the-alchemist","Cambodia","Phnom Penh","Phnom Penh",3.9,28,"12200","Coffee shops","Coffee shops","https://web.facebook.com/hotelkvl","https://www.instagram.com/hotelkvl/","","","","",""
"Spring House","1093 NR2, Phnom Penh, Cambodia","+855 99 262 606","springhouse168@gmail.com",11.5277671,104.9317245,"https://linktr.ee/Spring_House","Cambodia","Phnom Penh","Phnom Penh",4.5,2,"","Coffee shops","Coffee shops,Cake shops","https://www.facebook.com/springhouse.cake/","https://www.instagram.com/springhouse.kh","","","","","http://www.tiktok.com/@springhouse.kh"
"E&M Coffee Restaurant(BKK1)","St 57, Phnom Penh, Cambodia","+855 78 238 248","em.coffee@yahoo.com",11.5489863,104.925535,"http://www.em-coffee.com/","Cambodia","Phnom Penh","Phnom Penh",4.1,234,"","Coffee shops","Restaurants,Coffee shops,Cafes,Breakfast restaurants,Food and beverage exporters","https://www.facebook.com/emcoffee.kh?fref=ts","","","","","",""
"PLENG CHAN Coffee and Eatery (BKK) - ភ្លេងច័ន្ទ (សាខាបឹងកេងកង)","232 Preah Trasak Paem St. (63), Phnom Penh 12302, Cambodia","+855 93 702 525","info@plengchancoffee.com",11.5471445,104.9244895,"https://www.plengchancoffee.com/","Cambodia","Phnom Penh","Phnom Penh",4.3,239,"12302","Coffee shops","Restaurants,Coffee shops,Bakery and Cake Shops,Bakeries","https://www.facebook.com/plengchankh","","","","","https://www.youtube.com/@plengchancoffee",""
"Cafe Sokha - កាហ្វេសុខា","23, Kramoun Sar Street, Phsa Thmey 2, Phnom Penh, Kingdom of Cambodia Phnom Penh, 120202, Cambodia","+855 96 626 2300","info@cafesokha.com",11.5715059,104.9197673,"http://cafesokha.com/","Cambodia","Phnom Penh","Phnom Penh",4.5,2,"120202","Coffee shops","Coffee shops","https://www.facebook.com/cafesokha","","","","","",""
"PLENG CHAN Coffee and Eatery (TTP) - ភ្លេងច័ន្ទ (សាខាទួលទំពូង)","Lot 360, Street 135, Corner 460, Phnom Penh 12310, Cambodia","+855 93 972 525","info@plengchancoffee.com",11.5384278,104.9169246,"https://www.plengchancoffee.com/","Cambodia","Phnom Penh","Phnom Penh",4.4,101,"12310","Coffee shops","Bakeries,Restaurants,Coffee shops,Bakery and Cake Shops","https://www.facebook.com/plengchankh","","","","","https://www.youtube.com/@plengchancoffee",""
"BROWN Coffee Midtown","Street 2004, Phnom Penh, Cambodia","+855 86 222 506","info@browncoffee.com.kh",11.5530265,104.8798442,"https://www.browncoffee.com.kh/","Cambodia","Phnom Penh","Phnom Penh",4.3,278,"","Coffee shops","Coffee shops","","","","","","",""
